"place_lon","place_lat"
-85.510207,36.1395275
-74.485163,40.785951
-90.247824,38.653771
-105.2285935,35.6053805
-74.6328365,40.5015775
-75.2014675,39.9503735
-80.1778765,26.2706925
-84.153529,39.695477
-98.319925,38.498196
-80.402683,33.937393
-111.931711,34.1682535
-72.757385,41.500753
-78.657837,35.8439815
-114.1432625,45.4945515
-75.1751275,40.69647
-122.4294405,47.139885
-75.3067705,39.937821
-82.5873885,28.0041725
-97.2859135,32.7799665
-121.3004255,37.980826
-77.8581095,40.7835375
-72.957097,41.2731705
-71.052126,42.405331
-111.634531,33.2423705
-77.641937,43.057039
-71.526844,42.15418
-76.9396335,36.6781005
-92.12284,46.7583345
-83.6339035,41.0550135
-117.434547,47.667438
-75.4962745,40.6706565
-111.8609655,40.5724555
-111.239462,36.1292925
-117.320879,33.226316
-84.715575,39.1678855
-81.934474,40.81569
-111.032309,32.342708
-87.665193,41.5589405
-72.2579145,41.353592
-81.921456,41.490977
-74.377998,40.5387865
-71.1962385,42.181867
-82.0193025,41.4485055
-81.226576,33.9207505
-88.0222305,43.0061125
-83.4348345,38.1815595
-74.6575195,40.915123
-92.5774485,40.194934
-70.953494,42.576595
-80.1129035,26.533486
-76.6151805,39.396352
-81.589647,40.0270015
-96.825551,33.10809
-80.0931635,40.5463505
-84.5793055,39.0567505
-80.2067175,26.7009785
-84.772176,43.593853
-79.484741,34.7543475
-113.0923375,37.6917225
-117.7823605,33.689732
-80.7482335,34.944999
-77.904653,40.8028355
-84.525403,39.2856785
-87.798147,41.565971
-80.1529235,25.8494915
-85.598011,42.9467365
-91.8117545,29.993466
-93.49034,44.778726
-74.1188015,40.9362525
-117.767354,34.1257705
-79.2296685,42.983029
-70.891243,43.187098
-77.4771055,39.0311595
-94.2791215,39.0148605
-79.0629265,38.1557615
-94.630657,39.171848
-75.303998,43.117995
-86.09684,39.79556
-90.327493,38.5867375
-104.789327,38.8885185
-97.2304615,31.501522
-82.3422685,34.7959415
-83.641199,32.58263
-82.441838,34.953849
-84.714162,33.736306
-88.113245,41.85174
-116.238001,43.598033
-102.0089875,33.519735
-72.8541685,41.673678
-75.5490445,40.561697
-118.3461525,33.9536335
